,stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation,spray_angle,team_abv
162,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,172.58319767502334,329.5929712419226,372.0436625072587,outfield_outer,20.7,8.0,NNW,27.637689227131037,TOR
163,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,181.5161593105923,316.7730560586597,365.0935292984676,outfield_outer,22.4,8.0,NNW,29.813416624804052,TOR
164,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,190.41726994228853,303.93098308983525,358.6541219256069,outfield_outer,24.1,8.0,NNW,32.06775416238476,TOR
165,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,199.34331067246268,291.10622124133715,352.8180658005884,outfield_outer,25.8,8.0,NNW,34.402508500061195,TOR
166,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,208.27273532250464,278.28381572878425,347.5908721115818,outfield_outer,27.6,8.0,NNW,36.811858391645096,TOR
167,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,217.17986360861562,265.44596503419325,342.9703391111118,outfield_outer,29.5,8.0,NNW,39.28899328633124,TOR
168,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,226.11432280087735,252.62713015737955,339.0400475862003,outfield_outer,31.4,8.0,NNW,41.83018500991798,TOR
169,Rogers Centre,Toronto Blue Jays,blue_jays,TOR,235.08499367351394,239.833593833553,335.83494008455074,outfield_outer,33.3,8.0,NNW,44.427131957887894,TOR
170,Truist Park,Atlanta Braves,braves,ATL,-238.45253562596525,248.38349446871877,344.31667411112153,outfield_outer,-32.9,6.0,SSE,-43.83138656824205,ATL
171,Truist Park,Atlanta Braves,braves,ATL,-232.0838694626866,261.2617444934571,349.45761059181103,outfield_outer,-31.2,6.0,SSE,-41.61530595884024,ATL
172,Truist Park,Atlanta Braves,braves,ATL,-225.88978535665382,274.2241634140339,355.28170080740426,outfield_outer,-29.6,6.0,SSE,-39.47969526722412,ATL
173,Truist Park,Atlanta Braves,braves,ATL,-219.69716940961928,287.1877380607185,361.58490446785913,outfield_outer,-28.1,6.0,SSE,-37.415806104305595,ATL
174,Truist Park,Atlanta Braves,braves,ATL,-213.46202700026288,300.1312681216562,368.29989828314433,outfield_outer,-26.6,6.0,SSE,-35.42153666799288,ATL
175,Truist Park,Atlanta Braves,braves,ATL,-207.23026544144756,313.0765201907059,375.4481194647994,outfield_outer,-25.1,8.0,SSE,-33.50120094032475,ATL
176,Truist Park,Atlanta Braves,braves,ATL,-198.29804001770214,324.0096248055951,379.8741234165927,outfield_outer,-23.6,8.0,SSE,-31.467166106227268,ATL
177,Truist Park,Atlanta Braves,braves,ATL,-186.61090337755036,332.36608502130247,381.17036051058994,outfield_outer,-22.0,8.0,SSE,-29.31255211414484,ATL
178,Truist Park,Atlanta Braves,braves,ATL,-174.88443763411755,340.66720527412815,382.934343296454,outfield_outer,-20.4,8.0,SSE,-27.17408663243915,ATL
179,Truist Park,Atlanta Braves,braves,ATL,-163.09757922528243,348.882367545259,385.12300208262354,outfield_outer,-18.8,8.0,SSE,-25.055424729655865,ATL
180,Truist Park,Atlanta Braves,braves,ATL,-151.37828929123384,357.1931099664494,387.94626467623647,outfield_outer,-17.2,8.0,SSE,-22.967210317944325,ATL
181,Truist Park,Atlanta Braves,braves,ATL,-138.50632103806913,363.42025282983263,388.9193761364946,outfield_outer,-15.6,8.0,SSE,-20.862788460440743,ATL
182,Truist Park,Atlanta Braves,braves,ATL,-125.11932963209182,368.63428239668264,389.28919944650556,outfield_outer,-14.1,8.0,SSE,-18.74788889953218,ATL
183,Truist Park,Atlanta Braves,braves,ATL,-111.74363815538504,373.87629472564265,390.2180472837939,outfield_outer,-12.5,8.0,SSE,-16.640281793387164,ATL
184,Truist Park,Atlanta Braves,braves,ATL,-98.3743015396139,379.1344588444368,391.68921492258477,outfield_outer,-10.9,8.0,SSE,-14.545808717763993,ATL
185,Truist Park,Atlanta Braves,braves,ATL,-85.19727658745057,384.8479042335685,394.1655557388145,outfield_outer,-9.4,8.0,SSE,-12.482764576260696,ATL
186,Truist Park,Atlanta Braves,braves,ATL,-71.84689387119285,390.1566748367037,396.7167844679272,outfield_outer,-7.8,8.0,SSE,-10.434056204084195,ATL
187,Truist Park,Atlanta Braves,braves,ATL,-58.50613348246872,395.4898712503673,399.7939543273516,outfield_outer,-6.3,8.0,SSE,-8.414924788266838,ATL
188,Truist Park,Atlanta Braves,braves,ATL,-45.17939395347306,400.85757593726623,403.3955550378614,outfield_outer,-4.8,8.0,SSE,-6.430489867690351,ATL
189,Truist Park,Atlanta Braves,braves,ATL,-31.255750508225564,403.82452451000006,405.0323055455701,outfield_outer,-3.3,8.0,SSE,-4.425831548159119,ATL
